,Unnamed: 0,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
4604,32915,32988,Text,2010-06-27,Ewing's Lady,en,"Wilson, Harry Leon, 1867-1939",Man-woman relationships -- Fiction; Artists -- Fiction; Families -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/2/9/8/32988/32988.txt
4605,32920,32993,Text,2010-06-27,A Daughter of the Union,en,"Madison, Lucy Foster, 1865-1932","United States -- History -- Civil War, 1861-1865 -- Fiction",PS,US Civil War,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/2/9/9/32993/32993.txt
4606,32923,32996,Text,2010-06-27,"The Ten-foot Chain; or, Can Love Survive the Shackles? A Unique Symposium",en,"Abdullah, Achmed, 1881-1945; Brand, Max, 1892-1944; Means, E. K. (Eldred Kurtz), 1878-1957; Sheehan, Perley Poore, 1875-1943",Short stories; Manners and customs -- Fiction; Man-woman relationships -- Fiction; Love -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/2/9/9/32996/32996.txt
4607,32946,33019,Text,2010-06-29,The Green God,en,"Kummer, Frederic Arnold, 1873-1943; Schabelitz, R. F. (Rudolph Frederick), 1884- [Illustrator]",Fiction; Detective and mystery stories,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/1/33019/33019.txt
4608,32957,33030,Text,2010-06-30,"Chiquita, an American Novel: The Romance of a Ute Chief's Daughter",en,"Tileston, Merrill",Indian women -- Fiction; Ute Indians -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/3/33030/33030.txt
4609,32966,33039,Text,2010-07-01,The Orphan,en,"Mulford, Clarence Edward, 1883-1956; True, Allen Tupper, 1881-1955 [Illustrator]",Fiction; Western stories,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/3/33039/33039.txt
4610,32974,33047,Text,2010-07-02,The Eye of Wilbur Mook,en,"Hickey, H. B., 1916-1987","Fantasy fiction; Cowardice -- Fiction; Arthur, King -- Fiction; Merlin (Legendary character) -- Fiction; Courage -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/4/33047/33047.txt
4611,32975,33048,Text,2010-11-20,Jap Herron: A Novel Written from the Ouija Board,en,"Hutchings, Emily Grant [Author of introduction, etc.]; Twain, Mark (Spirit), 1835-1910 [Dubious author]","Missouri -- Fiction; Spirit writings; Newspaper presses -- Fiction; Twain, Mark, 1835-1910 (Spirit)",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/4/33048/33048.txt
4612,32985,33058,Text,2010-07-03,Gabriel Tolliver: A Story of Reconstruction,en,"Harris, Joel Chandler, 1848-1908","Reconstruction (U.S. history, 1865-1877) -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/5/33058/33058.txt
4613,32988,33061,Text,2010-07-03,Clover and Blue Grass,en,"Hall, Eliza Calvert, 1856-1935; Ballinger, Harry Russell, 1892-1993 [Illustrator]",Kentucky -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/6/33061/33061.txt
4614,32991,33064,Text,2010-07-03,The Blind Man's Eyes,en,"Balmer, Edwin, 1883-1959; MacHarg, William, 1872-1951; Dexter, Wilson C. [Illustrator]",Love stories; Mystery fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/6/33064/33064.txt
4615,32992,33065,Text,2010-07-03,The Indian Drum,en,"Balmer, Edwin, 1883-1959; MacHarg, William, 1872-1951; Benda, Wladyslaw T. (Wladyslaw Theodore), 1873-1948 [Illustrator]",Chicago (Ill.) -- Fiction; Mystery fiction; Great Lakes Region (North America) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/6/33065/33065.txt
